name,online_order,book_table,rate,votes,approx_cost(for two people),listed_in(type),order_type
Goa 0 Km,Yes,Yes,3.6,163,800.0,Dining,Online
Chinese Kitchen,Yes,No,3.8,58,150.0,Dining,Online
Jeet Restaurant,No,Yes,4.0,808,850.0,Dining,Offline
Cake of the Day,No,No,3.7,78,150.0,Dining,Offline
Kabab Magic,Yes,No,4.1,1720,400.0,Dining,Online
Namma Brahmin's Idli,Yes,No,3.6,34,100.0,Dining,Online
Gustoes Beer House,No,No,4.1,868,700.0,Dining,Offline
Sugar Rush,No,No,3.8,39,300.0,Dining,Offline
Burger King,Yes,No,3.2,71,600.0,Dining,Online
The Good Bowl,Yes,No,3.6,6,500.0,Dining,Online
The Biryani Cafe,No,No,4.1,520,300.0,Dining,Offline
Spicy Tandoor,No,No,4.1,0,150.0,Dining,Offline
LSD Cafe,No,No,2.9,84,700.0,other,Offline
Rolls On Wheels,No,No,3.6,299,300.0,Dining,Offline
Om Sri Vinayaka Chats,No,No,3.6,0,500.0,Dining,Offline
Sri Guru Kottureshwara Davangere Benne Dosa,Yes,No,4.1,558,150.0,Dining,Online
Devanna Dum Biriyani Centre,Yes,No,3.6,28,300.0,Dining,Online
Kolbeh,No,No,3.7,22,500.0,Dining,Offline
Upahar Sagar,No,No,3.8,39,350.0,Dining,Offline
Kadalu Sea Food Restaurant,Yes,No,3.8,153,500.0,Dining,Online
Frozen Bottle,Yes,No,4.2,146,400.0,Dining,Online
Parimala Sweets,No,No,3.5,14,200.0,Dining,Offline
Vaishali Deluxe,No,No,3.8,42,700.0,Dining,Offline
Chill Out,No,No,3.8,0,100.0,Dining,Offline
The Big O Bakes,No,No,4.0,66,300.0,Dining,Offline
Meghana Foods,Yes,No,4.4,4401,600.0,Dining,Online
Krishna Sagar,No,No,3.5,31,200.0,Dining,Offline
Dessert Rose,No,No,3.5,7,500.0,Dining,Offline
Chickpet Donne Biryani House,No,No,3.7,21,250.0,Dining,Offline
Me And My Cake,No,No,3.7,0,500.0,Dining,Offline
Sunsadm,No,No,3.7,0,400.0,Dining,Offline
Annapooraneshwari Mess,No,No,3.7,0,200.0,Dining,Offline
Thanco's Natural Ice Creams,No,No,3.2,9,300.0,Dining,Offline
Nandhini Deluxe,No,No,2.6,283,600.0,Dining,Offline
Vi Ra's Bar and Restaurant,No,No,3.3,62,800.0,Dining,Offline
Kaggis,No,No,3.8,64,250.0,Dining,Offline
Ayda Persian Kitchen,No,No,3.7,39,950.0,Dining,Offline
Chatar Patar,No,No,3.7,65,300.0,Dining,Offline
Polar Bear,Yes,No,3.8,71,400.0,Dining,Online
Kidambi's Kitchen,No,No,3.5,52,300.0,Dining,Offline
Mane Thindi,No,No,3.7,130,200.0,Dining,Offline
Kotian Karavali Restaurant,No,No,3.5,10,300.0,Dining,Offline
Floured-Baked With Love,No,No,3.8,45,400.0,Dining,Offline
CAFE NOVA,No,No,3.2,11,600.0,Dining,Offline
Cakes & Slices,No,No,3.5,13,300.0,Dining,Offline
Spice 9,No,No,3.4,8,300.0,Dining,Offline
Coffee Shopee,No,No,3.4,0,250.0,Dining,Offline
Naveen Kabab & Biriyani Mane,No,No,3.2,9,300.0,Dining,Offline
Katriguppe Donne Biryani,No,No,3.2,4,300.0,Dining,Offline
Hari Super Sandwich,No,No,3.2,0,200.0,Dining,Offline
Atithi Point Ande Ka Funda,No,No,3.1,29,150.0,Dining,Offline
Just Bake,No,No,3.4,8,400.0,Dining,Offline
Dharwad Line Bazaar Mishra Pedha,No,No,3.4,0,150.0,Dining,Offline
Cake Bite,No,No,3.4,0,300.0,Dining,Offline
Aarush's Food Plaza,No,No,3.4,0,200.0,Dining,Offline
Wood Stove,No,No,3.4,0,150.0,Dining,Offline
Kulfi & More,No,No,3.4,0,150.0,Dining,Offline
Kannadigas Karavali,No,No,3.4,0,250.0,Dining,Offline
K27 - The Pub,No,No,3.1,30,900.0,Dining,Offline
Bengaluru Coffee House,Yes,No,4.1,201,300.0,Dining,Online
New Mangalore Lunch Home,No,No,3.3,7,200.0,Dining,Offline
Coffee Bytes,No,No,3.1,6,100.0,Dining,Offline
Parjanya Chat Zone,No,No,3.3,17,200.0,Dining,Offline
Kwality Wall's Swirl's Happiness Station,No,No,2.9,25,200.0,Dining,Offline
Soms Kitchen & Bakes,No,No,2.9,0,400.0,Dining,Offline
Banashankari Nati Style,No,No,2.9,0,350.0,Dining,Offline
Ruchi Maayaka,No,No,3.3,8,100.0,Dining,Offline
Mohitesh Hut Roll,No,No,3.3,0,150.0,Dining,Offline
Sri Basaveshwar Jolada Rotti Oota,No,No,3.4,0,150.0,Dining,Offline
Roll Magic Fast Food,No,No,3.4,0,200.0,Dining,Offline
Foodlieious Multi Cuisine,No,No,3.4,0,100.0,Dining,Offline
Thanishka Nati And Karavali Style,No,No,3.1,0,400.0,Dining,Offline
Swathi Cool Point,No,No,4.1,0,200.0,Dining,Offline
Kaumudis Juoice,No,No,3.3,0,150.0,Dining,Offline
Amma - Manae,No,No,3.1,0,400.0,Dining,Offline
Sri Sai Tiffannies,No,No,3.3,0,150.0,Dining,Offline
Hotel Andhra Speices,No,No,2.9,0,250.0,Dining,Offline
Sri Murari Family Restaurant,No,No,2.9,0,250.0,Dining,Offline
Aramane Donne Biriyani,No,No,2.9,0,150.0,Dining,Offline
Darkolates,No,No,3.3,0,200.0,Dining,Offline
Swaada Healthy Kitchen,No,No,3.3,0,350.0,Dining,Offline
Gawdaru Mane Beriyani,No,No,3.3,0,300.0,Dining,Offline
Melting Melodies,No,No,3.3,0,100.0,Dining,Offline
New Indraprasta,No,No,3.3,0,150.0,Dining,Offline
Anna Kuteera,Yes,No,4.0,771,450.0,Dining,Online
Darbar,No,No,3.0,98,800.0,Dining,Offline
Vijayalakshmi,Yes,No,3.9,47,200.0,Dining,Online
